NOMBRE,DROGA,PRESENTACION,LABORATORIO,PRECIO,PRECIOPAMI,FORMA,VIA,POTENCIA,UPOTENCIA,UNIDADES,TIPOUNIDAD,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED,GTIN1,C_BARRA,IMPORTADO,D_MARCA_CONTROLADO
+50,vit.+asoc.,comp.x 30,ISA,13800,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,30,unidades,Venta Libre,Energizante psicofísico, , ,7790839000267,7790839000267,Nacional,NO CONTROLADO
100% WHEY PROTEIN,proteínas de suero de leche,chocolate x 907 g,Laboratorio ENA,72000,0,Granulados,oral,,No Clasificada,1,unidades de 907 g,Venta Libre,Suplemento dietario, , ,7792981066115,7792981066115,Nacional,NO CONTROLADO
100% WHEY PROTEIN,proteínas de suero de leche,frutilla x 907 g,Laboratorio ENA,72000,0,Granulados,oral,,No Clasificada,1,unidades de 907 g,Venta Libre,Suplemento dietario, , ,7792981070440,7792981070440,Nacional,NO CONTROLADO
100% WHEY PROTEIN,proteínas de suero de leche,vainilla x 907 g,Laboratorio ENA,72000,0,Granulados,oral,,No Clasificada,1,unidades de 907 g,Venta Libre,Suplemento dietario, , ,7792981066108,7792981066108,Nacional,NO CONTROLADO
102 FOCUS,magnesio+asoc.,comp. rec. x 30,Laboratorio Gramon,24977,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7791984001727,7791984001727,Nacional,NO CONTROLADO
102 MAGNESIO,vit.+minerales+asoc.,comp. rec. x 30,Laboratorio Gramon,16958,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7791984001512,7791984001512,Nacional,NO CONTROLADO
102 MAGNESIO CITRATO,magnesio citrato,comp. x 30,Laboratorio Gramon,17848,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7791984001758,7791984001758,Nacional,NO CONTROLADO
102 MAGNESIO GUMMIES,magnesio+asoc.,gomitas x 90,Laboratorio Gramon,21166,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,90,unidades,Venta Libre,Suplemento dietario, , ,7791984001529,7791984001529,Nacional,NO CONTROLADO
102 MUJER,vit.+minerales,cáps.bl.x 30,Laboratorio Gramon,22922,0,Cápsulas/Softgels,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7791984001154,7791984001154,Nacional,NO CONTROLADO
102 PLUS,vit.+minerales,comp.x 30,Laboratorio Gramon,19064,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7791984000485,7791984000485,Nacional,NO CONTROLADO
102 PLUS,vit.+minerales,comp.x 60,Laboratorio Gramon,33176,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,60,unidades,Venta Libre,Suplemento dietario, , ,7791984000492,7791984000492,Nacional,NO CONTROLADO
102 PLUS,vit.+minerales,comp.x 90,Laboratorio Gramon,46894,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,90,unidades,Venta Libre,Suplemento dietario, , ,7791984000508,7791984000508,Nacional,NO CONTROLADO
102 PLUS EFERVESCENTE,vit.+minerales,sob.x 15,Laboratorio Gramon,15978,0,Granulados,oral,,No Clasificada,15,unidades,Venta Libre,Suplemento dietario, , ,7791984000515,7791984000515,Nacional,NO CONTROLADO
102 SPORT BCAA,vit.+minerales,sob.x 30,Laboratorio Gramon,41259,0,Granulados,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7791984001192,7791984001192,Nacional,NO CONTROLADO
102 VITAMINA C,vit.+asoc.,comp.rec. x 30,Laboratorio Gramon,18944,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7791984001710,7791984001710,Nacional,NO CONTROLADO
102 VITAMINA C,vit.+asoc.,sobres x 30,Laboratorio Gramon,21463,0,Granulados,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7791984001635,7791984001635,Nacional,NO CONTROLADO
3 TC,lamivudina,sol.x 240 ml,GlaxoSmithKline Biopharma,108023,0,Jarabe/Suspensión oral/Polvo para uso oral,oral,,mg/5 ml,1,unidades de 240 ml,Venta Bajo Receta Archivada,Antiviral contra HIV,4108371,255911000221103,07798365530999,7796930007303,Importado,VENTA VIGILADA
3 TC,lamivudina,150 mg comp.rec.x 60,GlaxoSmithKline Biopharma,246644,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,Venta Bajo Receta Archivada,Antiviral contra HIV,4108451,121201000221105,07798365530982,7796930007310,Importado,VENTA VIGILADA
3 TC + AZT ELEA,lamivudina+zidovudina,comp.x 60,Elea,70844,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,Venta Bajo Receta Archivada,Antiviral contra HIV,4754931,113251000221103,07796285049928,7796285049928,Nacional,VENTA VIGILADA
3 TC COMPLEX,lamivudina+zidovudina,comp.rec.x 60,GlaxoSmithKline Biopharma,559330,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,Venta Bajo Receta Archivada,Antiviral contra HIV,4408181,243981000221108,07798365530876,7796930003336,Importado,VENTA VIGILADA
4 x 4,sildenafil,50 mg comp.rec.x 4,ISA,7000,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,4,unidades,Venta Bajo Receta Archivada,Trat.disfunción sexual masc.,5159542,208461000221108,07790839980248,7790839980248,Nacional,VENTA VIGILADA
5 FU,fluorouracilo,ung.x 20 g,Cassará,61750,0,Cremas/Geles/Pomadas/Ungüentos,uso externo,,g %,1,unidades de 20 g,Venta Bajo Receta Archivada,Antineoplásico,6747551, ,7795373003538,7795373003538,Nacional,NO CONTROLADO
5-ASA 1000,mesalazina,1 g sob.x 30,Domínguez,204255,137310,Granulados,oral,,mg,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,6393421,255921000221108,07795327064622,7795327064622,Nacional,NO CONTROLADO
5-ASA 1000,mesalazina,1 g sup.x 30,Domínguez,237353,0,Supositorios,rectal,,mg,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,6770711, ,779532706591,779532706591,Nacional,NO CONTROLADO
5-ASA 2000,mesalazina,2 g sob.x 30,Domínguez,366256,244651,Granulados,oral,,mg,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,6393551,255931000221106,07795327064639,7795327064639,Nacional,NO CONTROLADO
5-ASA 400,mesalazina,400 mg sup.x 10,Domínguez,41133,30026,Supositorios,rectal,,mg,10,unidades,Venta Bajo Receta,Antiinflam.intestinal,3314131,135481000221104,07795327061188,7795327061188,Nacional,NO CONTROLADO
5-ASA 400,mesalazina,400 mg comp.x 30,Domínguez,104542,65545,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,3313721,95941000221101,07795327061164,7795327061164,Nacional,NO CONTROLADO
5-ASA 400,mesalazina,400 mg sup.x 30,Domínguez,117746,85955,Supositorios,rectal,,mg,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,3314132,135501000221106,07795327061195,7795327061195,Nacional,NO CONTROLADO
5-ASA 400,mesalazina,400 mg comp.x 60,Domínguez,198778,124629,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,Venta Bajo Receta,Antiinflam.intestinal,3313722,95951000221104,07795327061171,7795327061171,Nacional,NO CONTROLADO
5-ASA 4000,mesalazina,4 g sob.x 30,Domínguez,610269,0,Granulados,oral,,g,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,6655681,432411000221103,07795327065742,7795327065742,Nacional,NO CONTROLADO
5-ASA 500,mesalazina,500 mg comp.x 30,Domínguez,107833,69635,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,5820131,109671000221106,07795327063625,7795327063625,Nacional,NO CONTROLADO
5-ASA 500,mesalazina,500 mg comp.x 60,Domínguez,194105,125346,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,Venta Bajo Receta,Antiinflam.intestinal,5820132,109931000221100,07795327063632,7795327063632,Nacional,NO CONTROLADO
5-ASA 800,mesalazina,800 mg comp.x 30,Domínguez,156910,111411,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,5820001,145521000221100,07795327063670,7795327063670,Nacional,NO CONTROLADO
5-ASA 800,mesalazina,800 mg comp.x 60,Domínguez,271355,192670,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,Venta Bajo Receta,Antiinflam.intestinal,5820002,96271000221108,07795327063687,7795327063687,Nacional,NO CONTROLADO
5XR 1000,mesalazina,1000 mg comp.x 30,Ariston,171625,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Antiinflam.intestinal,6680841,508871000221107,07795349500924,7795349500924,Nacional,NO CONTROLADO
5XR 1000,mesalazina,1000 mg comp.x 60,Ariston,339692,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,Venta Bajo Receta,Antiinflam.intestinal,6680842,508881000221105,07795349500931,7795349500931,Nacional,NO CONTROLADO
5XR 500,mesalazina,500 mg comp.x 50,Ariston,151083,74617,Cáps./Comp. de Liberación Controlada,oral,,mg,50,unidades,Venta Bajo Receta,Antiinflam.intestinal,5895421,185681000221107,07795349000172,7795349000172,Nacional,NO CONTROLADO
5XR 500,mesalazina,500 mg comp.x 100,Ariston,284550,126775,Cáps./Comp. de Liberación Controlada,oral,,mg,100,unidades,Venta Bajo Receta,Antiinflam.intestinal,5895422,185691000221105,07795349000189,7795349000189,Nacional,NO CONTROLADO
8 HORAS,eszopiclona,2 mg comp.x 30,Elea,24958,19588,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta Archivada,Hipnótico,5624002,201401000221101,07796285053147,7796285053147,Nacional,PSICOTROPICO IV
8 HORAS,eszopiclona,3 mg comp.x 30,Elea,31196,24483,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta Archivada,Hipnótico,5624131,194711000221108,07796285053154,7796285053154,Nacional,PSICOTROPICO IV
