NOMBRE,DROGA,PRESENTACION,LABORATORIO,FORMA,VIA,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED
+50,vit.+asoc.,comp.x 30,ISA,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Energizante psicofísico, , 
100% WHEY PROTEIN,proteínas de suero de leche,chocolate x 907 g,Laboratorio ENA,Granulados,oral,Venta Libre,Suplemento dietario, , 
100% WHEY PROTEIN,proteínas de suero de leche,frutilla x 907 g,Laboratorio ENA,Granulados,oral,Venta Libre,Suplemento dietario, , 
100% WHEY PROTEIN,proteínas de suero de leche,vainilla x 907 g,Laboratorio ENA,Granulados,oral,Venta Libre,Suplemento dietario, , 
102 FOCUS,magnesio+asoc.,comp. rec. x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 MAGNESIO,vit.+minerales+asoc.,comp. rec. x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 MAGNESIO CITRATO,magnesio citrato,comp. x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 MAGNESIO GUMMIES,magnesio+asoc.,gomitas x 90,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 MUJER,vit.+minerales,cáps.bl.x 30,Laboratorio Gramon,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
102 PLUS,vit.+minerales,comp.x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 PLUS,vit.+minerales,comp.x 60,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 PLUS,vit.+minerales,comp.x 90,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 PLUS EFERVESCENTE,vit.+minerales,sob.x 15,Laboratorio Gramon,Granulados,oral,Venta Libre,Suplemento dietario, , 
102 SPORT BCAA,vit.+minerales,sob.x 30,Laboratorio Gramon,Granulados,oral,Venta Libre,Suplemento dietario, , 
102 VITAMINA C,vit.+asoc.,comp.rec. x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 VITAMINA C,vit.+asoc.,sobres x 30,Laboratorio Gramon,Granulados,oral,Venta Libre,Suplemento dietario, , 
3 TC,lamivudina,sol.x 240 ml,GlaxoSmithKline Biopharma,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,4108371,255911000221103
3 TC,lamivudina,150 mg comp.rec.x 60,GlaxoSmithKline Biopharma,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,4108451,121201000221105
3 TC + AZT ELEA,lamivudina+zidovudina,comp.x 60,Elea,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,4754931,113251000221103
3 TC COMPLEX,lamivudina+zidovudina,comp.rec.x 60,GlaxoSmithKline Biopharma,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,4408181,243981000221108
