ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 04/05/2026;COBERTURA;IMPORTE AFILIADO
42415;betahistina;BETASERC;16 mg comp.x 30;Abbott EPD;$ 40966.68;40%;$ 24580.01
42416;betahistina;BETASERC;24 mg comp.x 30;Abbott EPD;$ 56858.82;40%;$ 34115.29
48040;betahistina;BETASERC;8 mg comp.x 30;Abbott EPD;$ 36341.62;40%;$ 21804.97
21735;candesartán cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;$ 67091.43;60%;$ 26836.57
21733;candesartán cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;$ 44734.32;60%;$ 17893.73
29638;candesartán+hidroclorotiazida;TIADYL PLUS;16 mg comp.x 30;Abbott EPD;$ 60381.59;50%;$ 30190.8
10202;claritromicina;KLARICID;125 mg/5 ml jbe.x 60 ml;Abbott EPD;$ 1258.68;60%;$ 503.47
15947;claritromicina;KLARICID;500 mg comp.x 16;Abbott EPD;$ 37203.35;60%;$ 14881.34
30818;claritromicina;KLARICID;500 mg comp.x 8;Abbott EPD;$ 22540.16;60%;$ 9016.06
12610;claritromicina;KLARICID;IV iny.f.a.x 1;Abbott EPD;$ 1198.74;60%;$ 479.5
22622;claritromicina;KLARICID UD;comp.x 5;Abbott EPD;$ 13595.38;60%;$ 5438.15
18811;claritromicina;KLARICID UD;comp.x 8;Abbott EPD;$ 21751.09;60%;$ 8700.44
18812;claritromicina;KLARICID FORTE;jbe.x 60 ml;Abbott EPD;$ 5734.16;60%;$ 2293.66
50821;clofedianol+bromhexina;COFRON;Ad.jbe.x 180 ml;Abbott EPD;$ 575.14;50%;$ 287.57
50823;clofedianol+bromhexina;COFRON;Ped.jbe.x 180 ml;Abbott EPD;$ 882.93;50%;$ 441.47
50820;clofedianol+bromhexina;COFRON;ad.jbe.x 100 ml;Abbott EPD;$ 10625.4;50%;$ 5312.7
50822;clofedianol+bromhexina;COFRON;ped.jbe.x 100 ml;Abbott EPD;$ 10625.4;50%;$ 5312.7
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 15 g;Abbott EPD;$ 19553.83;60%;$ 7821.53
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 30 g;Abbott EPD;$ 38512.61;60%;$ 15405.04
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 50 g;Abbott EPD;$ 62429.65;60%;$ 24971.86
24710;enzimas digestivas;CREON 10000;cáps.x 100;Abbott EPD;$ 120031.95;50%;$ 60015.98
37388;enzimas digestivas;CREON 25000;cáps.x 100;Abbott EPD;$ 199098.29;50%;$ 99549.15
37387;enzimas digestivas;CREON 25000;cáps.x 50;Abbott EPD;$ 110485.71;50%;$ 55242.86
24709;enzimas digestivas;CREON 10000;cáps.x 50;Abbott EPD;$ 66370.02;50%;$ 33185.01
45275;fenofibrato;CONTROLIP;160 mg cáps.x 30;Abbott EPD;$ 45292.8;60%;$ 18117.12
49097;fluvoxamina;LUVOX;100 mg comp.ran.x 30;Abbott EPD;$ 47202.01;50%;$ 23601.01
49096;fluvoxamina;LUVOX;100 mg comp.rec.x 15;Abbott EPD;$ 489.56;50%;$ 244.78
19929;pinaverio,bromuro;DICETEL;100 mg comp.x 30;Abbott EPD;$ 32612.54;50%;$ 16306.27
19930;pinaverio,bromuro;DICETEL;100 mg comp.x 60;Abbott EPD;$ 63109.46;50%;$ 31554.73
