Fecha de Ejecución del reporte:08/01/2020;;;;;;;;
Los datos se corresponden al cierre del día anterior.;;;;;;;;
;;;;;;;;
Rank Medicamento Consumido;;;;;;;;
;;;;;;;;
Año ID;Cod Alfabeta ID;Medicamento ID;Presentacion ID;Generico ID;Cobertura ID;Rank ID;Indicadores;% Dispensa al 100%
2020;25910;SUPRADYN FORTE;grag.x 30;Vit.+minerales;50%;1;;0,00%
2020;41503;ASPIRINA PREVENT;comp.cub.enterica x 50;Acetilsalicílico,ác.;60%;2;;31,24%
2020;25912;SUPRADYN FORTE;Efer.comp.x 30 Nar.s/az.;Vit.+minerales;50%;3;;0,00%
2020;15987;LOSACOR;50 mg comp.rec.x 30;Losartán;80%;4;;53,74%
2020;1992;POLPER B12;a.beb.x 30;Aminoácidos+vit.b12;50%;5;;0,03%
2020;34960;LOTRIAL;10 mg comp.x 60;Enalapril;80%;6;;43,78%
2020;25416;CORBIS;5 mg comp.rec.x 30;Bisoprolol;60%;7;;42,16%
2020;11919;T4 MONTPELLIER 100;100 mcg comp.x 50;Levotiroxina;80%;8;;34,23%
2020;16681;LOSACOR D;50/12.5 mg comp.rec.x 30;Losartán+hidroclorotiazida;60%;9;;54,18%
2020;9508;LOTRIAL D;comp.x 30;Enalapril+hidroclorotiazida;80%;10;;40,86%
2020;299;MACRIL;cr.x 20 g;Betametasona+gentamic.+miconazol;50%;11;;10,35%
2020;9406;DERMAGLOS;cr.x 200 g;Vit.a+alantoína+asoc.;50%;12;;0,14%
2020;25086;GLAUCOTENSIL TD;colirio x 5 ml;Dorzolamida+timolol;60%;13;;53,26%
2020;34959;LOTRIAL;10 mg comp.x 30;Enalapril;80%;14;;44,58%
2020;21870;DERMAGLOS;emuls.x 400 ml;Vit.a+alantoína+asoc.;50%;15;;0,47%
2020;29983;TAFIROL 1 G;comp.ran.x 50;Paracetamol;50%;16;;19,97%
2020;43180;FREVIA;160/4.5 mcg x 120 dosis;Budesonide+formoterol;60%;17;;76,49%
2020;18041;MARATHON;caps.x 30;Ginseng+vit.+minerales;50%;18;;0,00%
2020;50138;TANSILOPROST DUO;0.5/0.4 mg cáps.x 30;Dutasteride+tamsulosina;50%;19;;53,22%
2020;33625;T4 MONTPELLIER 50;50 mcg comp.x 50;Levotiroxina;80%;20;;27,62%
2020;23576;PANTUS 40;comp.gastrorres.x 30;Pantoprazol;50%;21;;52,14%
2020;7904;SERTAL COMPUESTO;comp.rec.x 20;Propinox+clonixinato de lisina;50%;22;;9,97%
2020;2232;SINTROM;4 mg comp.x 20;Acenocumarol;80%;23;;36,21%
2020;15369;BAGO B1 B6 B12;5000 mcg comp.x 30;Vit.b,complejo;50%;24;;5,39%
2020;14413;LANZOPRAL;caps.x 30;Lansoprazol;50%;25;;53,75%
2020;33626;T4 MONTPELLIER 75;75 mcg comp.x 50;Levotiroxina;80%;26;;27,52%
2020;9951;ALPLAX;0.50 mg comp.x 30;Alprazolam;50%;27;;35,00%
2020;5739;DIUREX;25 mg comp.x 30;Hidroclorotiazida;50%;28;;45,69%
2020;45691;TOTAL MAGNESIANO SPORT;sob.x 30;Magnesio+asoc.;50%;29;;40,23%
2020;11984;SOMIT;10 mg comp.x 30;Zolpidem;50%;30;;38,15%
2020;7929;TAURAL 300;300 mg comp.x 30;Ranitidina;50%;31;;57,35%
2020;8369;FLEXICAMIN B12;comp.x 20;Piroxicam+carisoprodol+asoc.;50%;32;;36,33%
2020;9954;ALPLAX;1 mg comp.x 60;Alprazolam;50%;33;;38,33%
2020;13126;EUDON;comp.rec.x 30;Clebopride+simeticona+asoc.;50%;34;;43,56%
2020;31004;LOSACOR;100 mg comp.rec.x 30;Losartán;80%;35;;50,20%
2020;11017;LEBOCAR;250/25 tabletas rec.x 60;Levodopa+carbidopa;80%;36;;57,27%
2020;29741;CORBIS;2.5 mg comp.rec.x 30;Bisoprolol;60%;37;;37,68%
2020;41637;ACTRON 600 RAPIDA ACCION;caps.gelat.blanda x 20;Ibuprofeno;50%;38;;15,37%
2020;762;POLPER B12 FORTE;comp.x 30;Aminoácidos+vit.b12;50%;39;;0,18%
2020;9622;GASTEC;20 mg caps.x 30;Omeprazol;50%;40;;65,14%
2020;9953;ALPLAX;1 mg comp.x 30;Alprazolam;50%;41;;41,29%
2020;26702;BEROCCA PLUS;comp.efer.x 30;Vit.+minerales;50%;42;;0,00%
2020;7515;MADOPAR;250 mg comp.x 50;Levodopa+benserazida;80%;43;;58,75%
2020;24817;AMPLIAR;10 mg comp.x 30;Atorvastatín;80%;44;;52,91%
2020;32338;LOSACOR D;100/25 mg comp.rec.x 30;Losartán+hidroclorotiazida;60%;45;;54,52%
2020;24174;PANTUS 20;comp.gastrorres.x 30;Pantoprazol;50%;46;;47,07%
2020;23716;LOPLAC;50 mg comp.x 30;Losartán;80%;47;;53,59%
2020;7639;ATLANSIL;comp.x 50;Amiodarona;80%;48;;38,53%
2020;31293;DAFLON 500;500 mg comp.x 60;Diosmina+hesperidina micronizada;50%;49;;0,04%
2020;25768;TOTAL MAGNESIANO ENERGIZANTE;comp.eferv.x 24;Magnesio+asoc.;50%;50;;39,74%
2020;22283;CLONAGIN 0.5;0.5 mg comp.x 30;Clonazepam;50%;51;;39,65%
